id,restaurant_address,restaurant_name,restaurant_cuisine,restaurant_rating,res_id
573,Geeta Bhavan,Gordhan Thal,Gujarati,3.9,fc907b91-c537-4b79-8d90-9fd3a66eb281
575,Vijay Nagar,Icekraft,"Desserts, Ice Cream, Fast Food",4.1,e3ca5585-5b15-43fe-bfc4-bd8510fcb0ed
577,Sudama Nagar,Ranjeet's Kitchen,North Indian,3.3,dfebb66d-489c-41a0-a574-155c3d997344
579,Vijay Nagar,Make My Sandwich,"Sandwich, Fast Food",3.9,0cfbe58d-a21d-44a1-8031-8197ac8fc27d
617,Geeta Bhavan,Urban Lokal Cafe,"Fast Food, North Indian",4.1,1bcb70cf-ff9b-48fe-9963-1a4806f1f2c5
618,Vijay Nagar,Spicy Family Restaurant,"North Indian, Chinese, Mughlai",3.7,79975bd1-864b-45d3-98be-399de568ed67
624,Vijay Nagar,Linkbite,"North Indian, Chinese, Mughlai",3.7,44d2ae25-9f83-46b6-a5a2-7a3b631e98be
627,Vijay Nagar,Apna Dhaba(MTM),"North Indian, Chinese",3.4,8caa773b-be2b-4fbe-91ec-d312adff73e0
630,Old Palasia,Veg Bites,"North Indian, Chinese, Fast Food",3.7,df0e7cf3-0625-4505-92fe-e73782f94566
632,Sudama Nagar,Lucky Bakers,"Bakery, Fast Food",3.9,309aa512-1671-435c-899e-62c18446c3d8
633,Old Palasia,Fantasy,"Italian, Fast Food",3.9,7ca8132e-6dbf-43e6-8d77-7d61c92acd8e
634,Vijay Nagar,Sigdi - Sizzler & South Indian,"South Indian, Chinese, Italian",3.9,9756079d-dd5f-4247-8813-6ca7b4ff7278
635,Sapna Sangeeta,Veg Bites,"North Indian, Chinese, Fast Food",3.6,7c3d21f6-3b13-4789-99c2-e8aa24b52a86
638,Bombay Bazaar,Saify Family Restaurant,"North Indian, Chinese, Mughlai",3.8,780ad738-61f3-48f5-89bd-4bce11ea388c
645,"56 Dukan, New Palasia",Young Tarang,"Street Food, South Indian",3.8,1334c2d7-9d9e-46cb-931d-3c52448b3e3b
652,Vijay Nagar,Sharma Namkeen Mithaiyan,"North Indian, Chinese, South Indian, Street Food, Beverages",4,f37f1a58-8786-4a68-8659-7529fbfd76e7
653,New Palasia,MP-09 Nagpal's Chole Bhature,"Street Food, North Indian",4.1,74e46dbe-35f7-4561-9609-541ec63d6864
655,Rau,NH3 Kitchen,"Cafe, North Indian",4,8b52f8d9-15ac-4835-bb82-9f2e3759bc1a
658,South Tukoganj,Ansh Restaurant,"North Indian, Chinese, Mughlai",3.9,0aa82922-9652-49a4-b5d6-2f13b5ba0315
659,Vijay Nagar,Riddhi Siddhi,"North Indian, South Indian, Chinese, Fast Food",3.3,cd10a9a7-eb30-4185-bebe-5e6535fab4cd
660,Vijay Nagar,Chill Baby,"Chinese, Fast Food",3.7,885e77d1-94b5-428b-af50-2540f02f0268
661,Vijay Nagar,Sagar Gaire,"South Indian, Fast Food",3.9,6808aa82-f864-4aff-b030-b35c0852a440
662,"56 Dukan, New Palasia",Ramesh Masala Dosa,South Indian,4,55d75576-1126-4c43-a828-0f558fcb686f
663,"BCM Heights, Vijay Nagar",Indian Coffee House,"South Indian, North Indian, Chinese, Fast Food",3.9,890f2b19-eb74-431a-87dc-dfbf65abaae7
664,Jail Road,Paneer King,"North Indian, Chinese",4,920641be-a168-4534-915b-afb398129850
665,"Mangal City Mall, Vijay Nagar",Ashirwad Bhojnalaya,North Indian,3.6,343ed9f9-1919-4540-bfd4-d8c6005939ab
666,Manik Bagh Road,Chick N Serve,"Lebanese, North Indian, Chinese",3.9,32a99fd0-96e7-49c7-a61e-8131714b9a2d
668,Old Palasia,Mr. Eggzotic,"Fast Food, North Indian, Street Food",3.3,3fe91ccc-359f-4034-8561-8b9f35c9ef8f
669,Vijay Nagar,Chai Kaapi,"Fast Food, Beverages, Tea",4.1,342811e4-7c3d-41eb-8701-3fcef52c91ff
670,Vijay Nagar,Udan Khatola,"Fast Food, Beverages",4.1,03ed9eae-f5d2-4228-bdfd-14e892e796fb
672,Sarwate Bus Stand,Rajkamal Dal Bafle,North Indian,3.9,8e38ea90-e1da-4c7b-9f33-8ab6d7814443
673,Bhawar Kuan,Swaad Delhi Da,"Rolls, North Indian",3.9,3ca4d3a1-265f-4e1c-838b-21d32526c4a0
674,Manik Bagh Road,Shawarma Grill & Momo Station,"Lebanese, Momos, Fast Food",4,aa92b665-34e5-4dba-be2d-07d7786b90f1
676,Vijay Nagar,Veg Bites,"North Indian, Chinese, Fast Food",3.6,91ac89d1-44a3-46bb-a517-c395cb9ecf01
677,Manik Bagh Road,Bablu Sandwich,Sandwich,4.1,c6ca80ff-381b-44ad-9ca5-5e9d186bad77
678,By Pass Road (North),Drool- The Highway Shack,"North Indian, Pizza, Chinese, Fast Food, Beverages",4,e7efbf39-1975-46e3-97e0-0d16f2d0d55f
679,Vijay Nagar,Babluji Punjabi Foods & Cafe,"North Indian, Street Food",3.9,15a08d9a-6f76-4b13-941a-fa82db72af78
680,Sapna Sangeeta,Upvaas,"Fast Food, Beverages",3.8,cacca270-8d61-487e-adeb-9c895823094d
720,"BCM Heights, Vijay Nagar",Goldy Di Hatti,"North Indian, Chinese, Biryani",3.9,b68c1df5-5769-4d69-a52c-c5b0c44f12f1
721,Old Palasia,Rangla Punjab The Dhaba,"North Indian, Chinese",3.9,dff05381-07a8-4076-8b57-ffd7c43a2785
726,Vijay Nagar,Cream Centre,"North Indian, Italian, Mexican",3.9,436c2fd3-54be-4896-abb2-926b7ed368c0
728,Rajendra Nagar,Lotus Cafe & Restaurant,"Cafe, North Indian",3.3,17346fa9-5736-491a-a920-24971998bc23
730,Vijay Nagar,Freito,"Mexican, Italian, Cafe",4,47209b9f-359e-45b7-b03b-6b573f9ca4d3
731,Vijay Nagar,Pitchers Cafebar,"North Indian, Italian, Fast Food",4,b43074ba-097a-43d4-bbc7-affeb036ee4c
732,Bhawar Kuan,Kebabilal's,"North Indian, Chinese",3.7,eda2bb6c-6f7c-429e-b268-494627ac62bb
736,New Palasia,Alav,"North Indian, Chinese",4,28aeb31b-a74d-4e60-8478-d648a71d0459
738,Vijay Nagar,House Of Malts,"North Indian, Italian",4.1,e8e2dbb2-d25e-48d6-b793-c45bd5e926c2
739,Old Palasia,Angaraa,"North Indian, Chinese",3.2,33b58bdf-4cc3-4178-ae7a-2790af8a8019
740,South Tukoganj,Shree Chotiwala Restaurant,"North Indian, Chinese",3.7,16f5ae57-72c2-44f3-884b-41dc0277d815
743,Vijay Nagar,Vrindavan Restaurant,"North Indian, Chinese, Mughlai",3.7,2bb562e7-ad77-481c-aa6c-526ba48c37ec
744,South Tukoganj,Oakaz - Cafe and Restaurant,"Cafe, North Indian, Fast Food",3.7,e5207766-88d1-4eca-9fb3-834c84d28c85
748,By Pass Road (North),Khanabadosh,"North Indian, Chinese",3.6,73a62a26-bfce-47cb-821b-6dcbd2a384d0
750,Vijay Nagar,Mud Oven,"North Indian, Chinese, Italian",3.6,a8a5572e-8bec-46fa-9f99-0accfce0299a
752,MR 10 Road,Charpai - The Dhaba,"North Indian, South Indian",3.8,8772e06f-ec69-49da-affe-023c34f91b8a
753,Old Palasia,Cafe Palette,"Cafe, Mexican, Italian",4,d62ff44a-622f-4e07-b6da-ca762f81a897
754,Vijay Nagar,Mr. Singh's,"North Indian, Chinese, Mughlai, Fast Food, Seafood",3.7,7162c7ff-9be7-448f-93da-85f353d64a5b
756,By Pass Road (North),GFC - The Great Food Company,"North Indian, Chinese",3.9,cd06423a-35e9-4a72-a334-9f9071ac3209
759,Annapurna Road,The Urban Rasoi,"North Indian, Chinese",4,daeb8eab-0db2-4782-ad67-7c492706bbe4
761,By Pass Road (North),Aieroc  Resto Cafe,Cafe,4,e3b0eea5-cdda-4726-a462-97fb16b87f88
763,Vijay Nagar,Culture Restaurant,North Indian,3.8,1a6e46a0-db42-4d2f-bd38-2aca62ce6c43
764,Vijay Nagar,LSD - Love Sugar & Dough,"Bakery, North Indian, Italian",4.1,617c58d1-a3dd-4662-adea-ad5be578a00e
765,Vijay Nagar,Bapu Ki Kutiya,"North Indian, Chinese",3.9,d6d90040-9231-4f4d-a25f-fdee3e0761a4
766,Sapna Sangeeta,Shreeleela Bhojnalaya,North Indian,3.4,c3b7a5c7-24c9-4333-ada1-09b041dc9e6a
767,Sapna Sangeeta,D2i,"North Indian, Mughlai, Chinese",3.9,af156826-cc71-4940-886e-c924c3228664
769,Sapna Sangeeta,Jalsa,North Indian,3.7,540e0030-acbc-41c6-90c9-16cd599b8b21
770,Rau,Nakhrali Dhani,Rajasthani,4,fde25d9e-9346-4d08-9e2f-fde3f13fdff3
771,Airport Road,M2 Restaurant,North Indian,3.7,dae5e195-739e-4ca3-acc5-a40de921cb62
772,Rau,The Sultan's,"Arabian, North Indian",4.1,b86e1c90-ad72-4b44-b966-870c20e50379
775,New Palasia,Hotel Apna Avenue Foody,"North Indian, Chinese, Fast Food",4,88dc6b39-232e-490d-a905-5c50cb44b7e5
777,Bhawar Kuan,Chlorophyll,"Chinese, North Indian, Fast Food",3.7,a74b1b7b-db07-49a6-96be-06c68429e3af
778,By Pass Road (North),Riddhi Siddhi,"North Indian, South Indian, Chinese",3.2,6b71cec2-9b82-429b-9f2c-90aa40669216
779,"BCM Heights, Vijay Nagar",Kukdu Kuu Club,"North Indian, Mughlai",3.5,21af091e-01b1-4ac8-8072-a71e42676ecf
780,Vijay Nagar,Romba South,"Andhra, South Indian",4,cb74e2ea-f335-4802-942e-ee96ffc79726
789,Vijay Nagar,Cakes N' Craft,"Bakery, Desserts",3.9,2b8b0a1f-4e84-48e9-84a5-415bb8c598a5
790,Sapna Sangeeta,I Contrast,"Ice Cream, Desserts",4.1,4a651d79-93b6-4e9f-9a25-8b223a81f91a
791,Old Palasia,The Belgian Waffle Co.,"Desserts, Beverages",4.1,b43cfe31-309c-49a3-9afc-bb02e08c06d0
792,Annapurna Road,Monica Galaxy,"Ice Cream, Desserts",4,cec03b82-3e89-4433-9ce3-7475a9a48381
793,YN Road,Top 'N' Town,"Ice Cream, Desserts",4.1,e2a464ff-54dd-4ea8-89c5-6f31849b230c
795,New Palasia,London Bubble Co.,"Desserts, Ice Cream",4,9c782054-efe0-4e0f-9c4d-19600ef440bb
796,Vijay Nagar,World of Waffles,Desserts,4,cee634fa-9a33-4120-8e1c-8ec761f2604e
797,Old Palasia,Una's,"Desserts, Beverages",4,44d704e6-f03a-439d-b82d-dd7e61ccd720
798,Old Palasia,Sweet N Slice,"Desserts, Fast Food, Beverages",3.6,08bef47c-60fa-40f7-ab9c-4ff6bb1f64c1
799,YN Road,Sheetal Gazak & Kulfi,"Ice Cream, Desserts",4.1,53c06b6f-262e-4907-b318-3f21cef2ab7c
800,YN Road,Monica Galaxy,"Ice Cream, Desserts",3.6,46411315-d588-451a-8739-dcdbb9359fee
801,Sapna Sangeeta,The Belgian Waffle Co.,"Desserts, Beverages",3.7,b67d8eba-58e8-4e5f-a267-65546d7b35b9
802,Vijay Nagar,Cool Uncle Ice Cream Lounge & Cafe,"Ice Cream, Fast Food, Beverages",3.9,8124672d-433f-4eea-9605-e71f5da5119c
803,"56 Dukan, New Palasia",Live Tawa Ice Cream,"Ice Cream, Beverages",3.9,80007ab0-b522-4ea7-a9ba-d640f81558a2
804,Old Palasia,99 PanCakes,"Desserts, Healthy Food",4,273b64b0-fee9-4f0a-932a-626c32e9197c
805,Sudama Nagar,Cool Uncle Ice Cream Lounge & Cafe,"Ice Cream, Desserts, Fast Food",3.8,f9f2ab02-53e2-4089-99c8-d739a592520e
806,Sudama Nagar,N.O.W - Nest of Waffles,"Desserts, Fast Food",4,7a314ba6-c6fb-407d-92a1-c9cf4dee8d0a
807,Sapna Sangeeta,Top 'N' Town,"Ice Cream, Desserts",3.6,6e4df989-6398-4d44-9b99-fee6138a47de
808,Manik Bagh Road,Havmor- Ice creams,"Desserts, Ice Cream",3.7,0300cc35-167c-4e85-a406-044ef81cc7cd
809,Annapurna Road,Top N Town - Humpty Dumpty,"Ice Cream, Desserts",3.8,3af5be34-919a-4521-a3b6-01610593412a
810,"Treasure Island Mall, South Tukoganj",McCafe,"Cafe, Desserts",3.7,d9482fb4-b6ae-4145-a871-be9516d8c74c
811,Old Palasia,The Cake Story,"Desserts, Bakery",3.8,f5d3551e-7722-42da-9c0f-fca4dfe8b69b
812,Bombay Bazaar,Nema Sweets,Desserts,3.2,731bd509-bf37-4e3f-bfdd-1c221e54ee1c
813,Kothari Market,Top 'N' Town,"Ice Cream, Desserts",3.4,a6fc36e7-f659-45c1-af1b-e18a3b57f492
814,Old Palasia,Dinshaw's Cream Studio,"Desserts, Ice Cream",3.7,520ca7db-e317-48b2-9d5b-87fc64e87f0a
816,Vijay Nagar,Ice Balls & Slice Square,"Sandwich, Fast Food, Ice Cream",3.7,255b1148-9b89-44b0-8561-d7f294c6ed15
817,Bhawar Kuan,Nema Gajak Kulfi,Desserts,3.3,47a18c06-c496-40c7-86d0-ac400d8fbaad
818,Vijay Nagar,Baskin Robbins,"Ice Cream, Desserts, Beverages",3.2,9391f2eb-9e46-4756-8adc-17b06f11ba9d
819,"Sapna Sangeeta Mall, Sapna Sangeeta",Keventers,"Beverages, Desserts, Ice Cream",3.5,44e0acf7-bd85-4a91-9783-e33b43b96ca9
820,Old Palasia,Nema Kulfi Faluda,"Fast Food, Desserts, Beverages",3.5,cf95af05-5832-41f6-a0ff-2f412897fded
821,Geeta Bhavan,Baskin Robbins,"Ice Cream, Desserts, Beverages",3.6,de165b2a-87f9-45ea-8cb0-10f5893bce61
822,Airport Road,Food Land Ice Cream and Cafe,"Ice Cream, Fast Food",3.5,443b2611-6427-449d-beac-bbd5388d7357
823,Old Palasia,Amul Store,"Desserts, Ice Cream",3.4,46263ca3-cc34-4d5b-bb0c-c15689831193
825,Chhavani,Sheetal Gazak & Kulfi,"Ice Cream, Desserts",3.6,7f7719ee-6a80-4ce6-a303-ff25ae5e505a
826,Sapna Sangeeta,Baskin Robbins,"Ice Cream, Desserts, Beverages",3.1,409893de-4449-41bd-9a7c-673deb7cb749
827,Annapurna Road,Cakes N' Craft,"Bakery, Desserts",3.5,3d4fd8bf-dd24-44fa-a37c-b488fdcffa0e
828,RNT Marg,Indore Kulfi House,"Street Food, Desserts",3.6,eabb3671-d3c8-4b1b-bcf1-a06db4055d09
829,Ranjeet Hanuman,Top 'N' Town,"Desserts, Ice Cream, Beverages",3.5,fccf2328-2117-4d4f-ab58-98a24797096e
830,"56 Dukan, New Palasia",The Belgian Waffle Co.,"Desserts, Beverages",3.5,697240a5-b4bf-4cf2-aac1-96fb9fd4d8c3
831,Vijay Nagar,Sheetal Gazak & Kulfi,"Ice Cream, Desserts",3.6,92b7bed5-2e0a-4d16-87a2-f629165f0543
832,Old Palasia,Waff Up! by Foobae,Desserts,3.5,2307d117-e3d2-4261-8e0b-26f6e7a43fe5
833,Bhawar Kuan,Cakes N' Craft,"Bakery, Desserts",3.3,8bf89105-aa53-44e0-a7ec-57a16e0cc306
834,Old Palasia,Nice Natural Ice Cream,"Desserts, Fast Food, Beverages",3.2,7eaa95ea-43b8-4cc8-9f55-8107820bb999
835,Khajrana,Nema Kulfi,"Fast Food, Desserts, Beverages",3.3,c70a0a13-1b8c-4247-adc3-0b8a4eaff440
836,Vijay Nagar,Top 'N' Town,"Ice Cream, Desserts",3.4,cf0f7a00-14a4-486f-b6e4-e65c6de0a336
837,Vijay Nagar,Nema Kulfi & Gajak,"Fast Food, Desserts, Beverages",3.5,bcb25361-f84b-436b-9a5f-47eaa598e38e
838,Old Palasia,Nema Malwi Mithas,"Fast Food, Desserts, Beverages",3.2,3413248d-00b2-419a-ade2-1a43e02780c6
839,Kothari Market,Mhow Kulfi,"Ice Cream, Street Food",3.4,faa57105-6bcd-4c76-908c-65a8397cfd19
840,By Pass Road (North),Top N Town,Ice Cream,3.4,f412d4d4-349e-4228-8e48-3eef5df59532
841,"56 Dukan, New Palasia",Kwality Wall's Humty Dumty,"Ice Cream, Beverages",3.3,43e5785b-1b32-4522-a717-7f39b608a835
843,Sarafa Bazaar,Nema Malwi Mithas,"Fast Food, Desserts, Beverages",3.5,3e235acb-c459-4de6-b638-bd7dff9dbbdd
844,"C21 Mall, Vijay Nagar",Baskin Robbins,"Ice Cream, Desserts, Beverages",3.5,07279a42-9235-4397-b326-4ccd4148f6de
845,Sarafa Bazaar,Agrawal Ice Cream,"Ice Cream, Desserts",3.6,67b60866-a55e-4808-a226-54c5d13a2c2d
846,Khajrana,Top 'N' Town,"Ice Cream, Desserts",3.4,0842f806-e43d-4cd8-b518-cab0e82254b3
847,Vijay Nagar,Top 'N' Town,"Ice Cream, Desserts",2.9,7d085960-626a-4e3d-80b0-2164eecb7923
848,Jail Road,Amul Shoppie,"Ice Cream, Fast Food",3.4,6f0f4a94-1919-4ab4-8ee3-8f6d33677541
850,Press Complex,Top 'N' Town,"Ice Cream, Desserts",2.8,c18bc205-d83c-4403-97b6-06cc4f04e041
851,Vijay Nagar,D'Chocolatist,Desserts,3.1,443ec12f-57b2-4456-952e-19b0c0afbec2
853,Airport Road,Amul Parlour,"Ice Cream, Fast Food",3.3,cf85954a-5252-43fd-8aab-7f977e5f36f5
854,Airport Road,Shree Jain Kulfi and  ?,Ice Cream,2.9,7ade6896-8574-4394-87c8-2a3be3ce68cd
855,Khajrana,Cakes N Craft,"Bakery, Desserts",2.9,6b2810b9-b2a5-4148-912d-22ddbb28d50a
856,Sudama Nagar,Live Tawa Icecream,"Ice Cream, Beverages",3.2,13af8c59-f9e8-409b-8919-3c3144f2bfed
858,Sudama Nagar,Shri Anand Ice Cream,"Ice Cream, Beverages",2.9,a0aa88f1-728f-43c1-a0a6-76c44a6c5308
859,Malharganj,Top n Town- CGS Ice Cream Delight,Ice Cream,3.1,d8ecebff-5f93-4df7-9d9b-ddc1155f96f0
860,Vijay Nagar,Waff Up!,Desserts,3.3,9474bf01-b31c-47a0-8e2f-ba92b535ae7a
861,Khajrana,Amul Waabasta Scoops,Ice Cream,3.2,3c0e25eb-f37a-4ddc-9c46-6a3be8dcbc5b
862,By Pass Road (North),Nema Kulfi Faluda,"Fast Food, Desserts, Beverages",3.2,b380752b-c651-46aa-961b-6c339a711abd
863,Old Palasia,Baskin Robbins,"Ice Cream, Desserts, Beverages",3,039a8c3a-1054-475f-858c-714996bf0b16
864,Airport Road,Monica Galaxy,"Ice Cream, Desserts",3.1,be402581-76f4-442c-9d7d-6a1d1c826a88
865,Bhawar Kuan,Nema Kulfi Faluda,Desserts,3.1,fb10cf88-4bef-403f-9df7-04296fbeb83f
867,Sudama Nagar,Ice Cream Online,Ice Cream,3,9cfd2a92-2100-42c4-a160-40070705732d
868,Vijay Nagar,Ice Cream Hub,"Ice Cream, Chinese",3,da1d3be6-9b2d-4464-99fb-76311611f801
869,South Tukoganj,Waffled,"Ice Cream, Desserts",3,e6352721-635a-4f32-b2f0-3011c004079a
870,Vijay Nagar,ifruit Delight,"Desserts, Ice Cream",3,f0bd05fd-57df-42d6-956a-a400f34abcda
871,Old Palasia,Live Ice Cream,Ice Cream,3.1,513005ae-9e22-4598-bacf-0465ca50c9e3
872,Sudama Nagar,Iceberg Cafe & Bharkadevi Ice Cream,Ice Cream,3.1,4ad8fa28-e311-4682-ad1a-0e684e36eae0
883,Vijay Nagar,Perfect Bakery,"Bakery, Fast Food",3.9,c83f3da6-c358-48a7-bd4c-1c7e40935a70
888,Bhawar Kuan,Valentine Cafe & Bakery,"Fast Food, Bakery",4,b4f78afa-72f7-4567-a86d-90c0cfca4363
889,Sapna Sangeeta,Bakers Lounge,"Bakery, Fast Food",3.8,b0190ad5-bc13-4096-95c3-a575408d9c6d
893,"Hotel Crown Palace, South Tukoganj",Bake Well Bakery Shop,"Bakery, Fast Food",3.6,a26bad6e-333a-47bb-aa91-afeea2014b71
894,New Palasia,Nafees Bakers,"Bakery, Fast Food",3.9,8c546833-b786-48bb-9953-6dbbfcb325e9
895,Old Palasia,Cake Me Away,"Bakery, Fast Food",3.5,5f4efbce-81f7-4cf6-bd30-c692c4abaeaa
896,Ranjeet Hanuman,Jain's Trupti Bakes N Beans,"Bakery, Fast Food, Chinese",3.6,61bec624-7204-484d-b63b-e8a1738ac82a
897,Bombay Bazaar,Nafees Bakery,"Bakery, Fast Food",3.4,f9942cad-cc62-4828-a235-b0224e0e618a
898,Old Palasia,Cakes 365,"Bakery, Fast Food",3.6,78960b82-047a-4de0-8859-c84858184307
899,Vijay Nagar,The RJ's Bakery & Cake Shop,Bakery,3.1,1905ffc6-fd52-4fea-a254-f1e4ae034965
900,Vijay Nagar,The RJ's Everfresh,Bakery,3.3,b65c3bca-e0f3-46ca-bbb6-e413af24248b
901,New Palasia,The Baking Room,"Bakery, Desserts",3.8,31e37178-9d78-4ea5-a048-0ad8d41af23a
902,HIG-LIG,Baked Inn,"Bakery, Cafe",3.5,27823b1f-692f-4bd0-b0f3-64b025afac45
903,Bhawar Kuan,Granny's Restaurant,"North Indian, Chinese, Bakery",3.5,8f135035-e080-4dc9-bb15-c7af449f88ec
904,Sapna Sangeeta,Peace of Cake,"Bakery, Desserts",3.9,0e10c84e-dcf6-44a7-b90b-c5014c1392c7
905,Old Palasia,Nafees Cakes & Grills,"Fast Food, Bakery",4,ee81079f-8f00-4fda-9065-7309b2d23077
907,HIG-LIG,Dev's Bakery,"Bakery, Street Food",3,cddc4463-980f-4eeb-ac78-4f40c5b4e57d
908,New Palasia,Khurana's,"Bakery, Fast Food",3.3,d8e769df-af64-46a6-8e3b-6dad51350727
909,Sapna Sangeeta,Fantasy,"Italian, Fast Food",3,112c6074-5241-4a97-8525-38432a5ee832
910,Vijay Nagar,24 Hours Bakery Shop,"Bakery, Desserts",3.7,eaed519a-c0f8-4757-adeb-1a2b584ff662
911,YN Road,Baker's Lounge,"Bakery, Fast Food",3,27d56fd1-868d-430d-84c5-9828fc3fd84a
912,Navlakha,Cake's Valley,"Bakery, Fast Food",3.5,7910110b-db91-41be-8c85-05d9f8babe54
913,Geeta Bhavan,Dev's Bakery,Bakery,3.3,b7e6b0d6-08b4-4c9d-96ab-c0e4b1c399dc
914,Khajrana,Dev's Bakery,"Bakery, Fast Food",3.4,946accb7-43f6-4967-ac27-d5850627160f
917,"Hotel Amar Vilas, Press Complex",Occasion - Hotel Amar Vilas,Bakery,3.4,d890acf1-a320-4d05-ba43-c9fa768356bf
918,New Palasia,420 Bites,"Bakery, Desserts, Fast Food, South Indian, Chinese, North Indian",3.4,b64c6e5f-8cde-44f7-ac8b-839e108b3a4b
919,Sudama Nagar,Cake Boutique,"Bakery, Desserts",3.3,74afb2eb-8ac2-4762-a9d1-869df14e63e8
920,Bhawar Kuan,Dev's Bakery,"Bakery, Fast Food",3.2,4660ac6c-f4f0-492f-8ab4-b2005f54c394
921,Annapurna Road,Mini Me Bakers,Bakery,3.2,86a63890-b581-4123-9c6b-b64818c8003b
922,Khajrana,Bakery Bites,Bakery,3.3,a73c7b0b-8b04-404c-92d0-6f7bf7e08379
923,Old Palasia,Cake Makers,"Bakery, Desserts",3.2,e021dec6-7572-42f8-8756-5978344a7903
924,By Pass Road (North),Kerala Sweets Bakery,"Bakery, Fast Food",3.8,4f12e9af-b0a5-4568-9c3f-1079d3676cd5
925,Khajrana,Sweet Little Bakery,Desserts,3.4,ff346f04-ddef-4552-a8aa-d632c3983a04
927,Sapna Sangeeta,Little Chicago,"Bakery, Desserts",3.5,e57057ec-887b-4d8a-854a-c408edd6bb9f
